OBJECTID;Nombre Places / Número Plazas;geo_shape;geo_point_2d
256941;1;"{""coordinates"": [-0.33562181523941526, 39.46870573463147], ""type"": ""Point""}";39.46870573463147, -0.33562181523941526
256942;1;"{""coordinates"": [-0.3387596833458188, 39.461188519228], ""type"": ""Point""}";39.461188519228, -0.3387596833458188
256943;1;"{""coordinates"": [-0.32953739105757196, 39.482530500248735], ""type"": ""Point""}";39.482530500248735, -0.32953739105757196
256944;1;"{""coordinates"": [-0.3951923807286658, 39.477486241498205], ""type"": ""Point""}";39.477486241498205, -0.3951923807286658
256945;1;"{""coordinates"": [-0.3433081008863001, 39.460307927229735], ""type"": ""Point""}";39.460307927229735, -0.3433081008863001
256947;1;"{""coordinates"": [-0.4174129353547714, 39.50296234502028], ""type"": ""Point""}";39.50296234502028, -0.4174129353547714
256950;1;"{""coordinates"": [-0.38043546644126697, 39.48990990136613], ""type"": ""Point""}";39.48990990136613, -0.38043546644126697
256952;1;"{""coordinates"": [-0.3283980968050121, 39.48171782362925], ""type"": ""Point""}";39.48171782362925, -0.3283980968050121
256955;1;"{""coordinates"": [-0.32867792968303666, 39.48087570803925], ""type"": ""Point""}";39.48087570803925, -0.32867792968303666
256959;1;"{""coordinates"": [-0.3804930122313477, 39.49040052850756], ""type"": ""Point""}";39.49040052850756, -0.3804930122313477
256961;1;"{""coordinates"": [-0.3902075333650637, 39.46972269964059], ""type"": ""Point""}";39.46972269964059, -0.3902075333650637
